Transaction ID,Product Name,Category,Sales Channel,Region,State,Store Type,Quantity Sold,Unit Price,Revenue,Cost Price,Returns,Inventory at Sale,Customer ID,Order Date,Discount %,Footfall,Order Year,Order Month,Order Quarter,Product Size
TID00135,Haldiram Bhujia,Snacks,Offline,West,Delhi,Supermarket,41,55,2255,45,5,59,CID258,21-04-2024,17,1863,2024,4,2,200g
TID00136,Vim Bar,Household,Offline,East,Uttar Pradesh,Online,47,25,1175,20,5,63,CID463,04-11-2023,11,1742,2023,11,4,300g
TID00137,Mother Dairy Milk,Dairy,Offline,East,West Bengal,Supermarket,11,60,660,52,4,30,CID194,08-06-2024,17,1952,2024,6,2,1L
TID00138,Amul Cheese,Dairy,Offline,East,Uttar Pradesh,Online,24,130,3120,110,2,39,CID436,23-03-2025,1,262,2025,3,1,200g
TID00139,Lizol,Household,Offline,East,Uttar Pradesh,Online,44,190,8360,160,3,57,CID349,07-03-2025,2,987,2025,3,1,975ml
TID00140,Red Bull,Beverages,Offline,East,Tamil Nadu,Online,37,125,4625,105,3,44,CID439,27-07-2024,14,1888,2024,7,3,250ml
TID00141,Amul Cheese,Dairy,Online,East,Maharashtra,Supermarket,2,130,260,110,1,15,CID178,14-04-2023,8,1460,2023,4,2,200g
TID00142,Lizol,Household,Online,North,Uttar Pradesh,Online,23,190,4370,160,3,33,CID85,22-07-2024,29,844,2024,7,3,975ml
TID00143,Haldiram Bhujia,Snacks,Online,South,Maharashtra,Supermarket,47,55,2585,45,4,66,CID281,18-12-2024,11,550,2024,12,4,200g
TID00144,Red Bull,Beverages,Offline,East,Delhi,Supermarket,43,125,5375,105,3,55,CID44,17-09-2024,16,1784,2024,9,3,250ml
TID00145,Coca-Cola,Beverages,Online,South,Uttar Pradesh,Supermarket,45,45,2025,35,3,60,CID436,06-10-2023,28,1948,2023,10,4,750ml
TID00146,Dove Soap,Personal Care,Offline,South,Tamil Nadu,Convenience Store,26,45,1170,35,2,32,CID372,07-11-2024,8,478,2024,11,4,100g
TID00147,Red Bull,Beverages,Offline,East,Delhi,Department Store,44,125,5500,105,1,49,CID146,09-05-2024,28,664,2024,5,2,250ml
TID00148,Harpic,Household,Offline,North,Uttar Pradesh,Convenience Store,6,95,570,80,4,13,CID488,21-05-2024,23,1918,2024,5,2,500ml
TID00149,Danone Curd,Dairy,Online,South,West Bengal,Online,12,60,720,50,3,21,CID179,15-09-2023,8,1167,2023,9,3,400g
TID00150,Vim Bar,Household,Offline,West,Maharashtra,Online,25,25,625,20,1,37,CID33,09-12-2024,10,1003,2024,12,4,300g
TID00151,Nivea Cream,Personal Care,Offline,East,Maharashtra,Convenience Store,22,249,5478,220,3,38,CID44,25-08-2023,30,893,2023,8,3,200ml
TID00152,Parle G,Snacks,Offline,East,Delhi,Supermarket,41,40,1640,30,0,46,CID44,04-02-2024,12,810,2024,2,1,300g
TID00153,Bingo,Snacks,Offline,East,Maharashtra,Department Store,41,18,738,12,4,61,CID105,19-01-2025,14,111,2025,1,1,85g
TID00154,Kurkure,Snacks,Offline,East,Maharashtra,Online,34,20,680,13,2,47,CID279,07-12-2024,12,682,2024,12,4,90g
TID00155,Dettol Surface Cleaner,Household,Online,East,Delhi,Department Store,30,120,3600,100,5,52,CID63,27-07-2023,0,1160,2023,7,3,500ml
TID00156,Nestle Yogurt,Dairy,Offline,East,West Bengal,Supermarket,3,25,75,20,1,8,CID114,04-03-2024,2,891,2024,3,1,100g
TID00157,Colgate Toothpaste,Personal Care,Offline,South,Delhi,Department Store,48,110,5280,95,1,57,CID22,04-09-2024,14,1755,2024,9,3,150g
TID00158,Dove Soap,Personal Care,Offline,East,West Bengal,Supermarket,9,45,405,35,3,20,CID106,27-02-2024,17,987,2024,2,1,100g
TID00159,Amul Butter,Dairy,Offline,South,Tamil Nadu,Supermarket,48,275,13200,250,4,61,CID229,19-05-2023,20,1657,2023,5,2,500g
TID00160,Amul Butter,Dairy,Online,North,West Bengal,Supermarket,43,275,11825,250,1,60,CID316,23-09-2024,9,1280,2024,9,3,500g
TID00161,Haldiram Bhujia,Snacks,Online,South,Uttar Pradesh,Online,28,55,1540,45,2,46,CID191,25-06-2023,15,1524,2023,6,2,200g
TID00162,Coca-Cola,Beverages,Offline,East,Delhi,Convenience Store,8,45,360,35,1,25,CID41,31-01-2024,0,785,2024,1,1,750ml
TID00163,Frooti,Beverages,Offline,South,Maharashtra,Supermarket,1,60,60,50,4,17,CID160,11-06-2024,21,320,2024,6,2,1.2L
TID00164,Bisleri Water,Beverages,Online,North,Uttar Pradesh,Convenience Store,17,20,340,15,1,39,CID332,30-07-2024,18,998,2024,7,3,1L
TID00165,Haldiram Bhujia,Snacks,Offline,South,Uttar Pradesh,Department Store,20,55,1100,45,0,33,CID380,30-06-2023,24,450,2023,6,2,200g
TID00166,Harpic,Household,Online,East,West Bengal,Supermarket,45,95,4275,80,2,57,CID125,03-09-2024,4,1664,2024,9,3,500ml
TID00167,Harpic,Household,Online,North,Tamil Nadu,Online,16,95,1520,80,0,29,CID360,08-06-2023,11,1945,2023,6,2,500ml
TID00168,Vim Bar,Household,Online,East,West Bengal,Supermarket,2,25,50,20,1,25,CID5,22-01-2025,26,709,2025,1,1,300g
TID00169,Lifebuoy,Personal Care,Online,West,Maharashtra,Department Store,29,35,1015,25,1,34,CID429,26-08-2023,0,787,2023,8,3,100g
TID00170,Nivea Cream,Personal Care,Online,North,Uttar Pradesh,Department Store,23,249,5727,220,4,45,CID446,15-11-2023,22,967,2023,11,4,200ml
TID00171,Kurkure,Snacks,Offline,North,Tamil Nadu,Convenience Store,16,20,320,13,4,22,CID441,21-01-2024,7,893,2024,1,1,90g
TID00172,Kurkure,Snacks,Online,East,Tamil Nadu,Supermarket,31,20,620,13,4,43,CID376,25-11-2024,29,597,2024,11,4,90g
TID00173,Mother Dairy Milk,Dairy,Online,East,Delhi,Convenience Store,17,60,1020,52,3,22,CID250,07-12-2024,15,819,2024,12,4,1L
TID00174,Lifebuoy,Personal Care,Offline,West,Maharashtra,Supermarket,8,35,280,25,5,23,CID163,12-04-2023,20,747,2023,4,2,100g
TID00175,Lizol,Household,Offline,East,Uttar Pradesh,Department Store,50,190,9500,160,0,55,CID152,06-12-2024,5,1079,2024,12,4,975ml
TID00176,Amul Butter,Dairy,Online,West,Delhi,Supermarket,21,275,5775,250,1,41,CID409,05-03-2025,6,838,2025,3,1,500g
TID00177,Red Bull,Beverages,Offline,East,Delhi,Convenience Store,16,125,2000,105,0,29,CID34,21-11-2024,27,748,2024,11,4,250ml
TID00178,Colgate Toothpaste,Personal Care,Online,South,Tamil Nadu,Department Store,4,110,440,95,3,11,CID84,18-10-2023,25,104,2023,10,4,150g
TID00179,Lays Chips,Snacks,Offline,East,West Bengal,Supermarket,3,20,60,14,2,9,CID51,21-05-2024,24,1290,2024,5,2,52g
TID00180,Bingo,Snacks,Online,North,West Bengal,Online,43,18,774,12,4,58,CID294,04-03-2024,21,1597,2024,3,1,85g
TID00181,Mother Dairy Milk,Dairy,Offline,East,Uttar Pradesh,Department Store,47,60,2820,52,1,58,CID351,28-07-2023,10,134,2023,7,3,1L
TID00182,Bingo,Snacks,Offline,North,Delhi,Department Store,49,18,882,12,1,62,CID255,09-12-2023,28,1595,2023,12,4,85g
TID00183,Parle G,Snacks,Offline,East,Maharashtra,Convenience Store,37,40,1480,30,2,60,CID191,06-02-2025,4,301,2025,2,1,300g
TID00184,Lifebuoy,Personal Care,Online,West,Maharashtra,Convenience Store,8,35,280,25,1,25,CID284,26-11-2024,29,174,2024,11,4,100g
TID00185,Harpic,Household,Online,West,Delhi,Online,36,95,3420,80,1,50,CID313,22-04-2024,25,1299,2024,4,2,500ml
